Unnamed: 0_x,uuid,age,age_group,gender,dem_has_children,country,country_code,Unnamed: 0_y,rural,Unnamed: 0_x,question_bbi_2016wave4_basicincome_awareness,question_bbi_2016wave4_basicincome_vote,question_bbi_2016wave4_basicincome_effect,question_bbi_2016wave4_basicincome_argumentsfor,question_bbi_2016wave4_basicincome_argumentsagainst,dem_education_level,dem_full_time_job,normalized_job_code,Unnamed: 0_y,job_name
23,b1eb3870-decd-0133-d783-0a81e8b09a82,1991,14_25,Female,no,Austria,AT,23,rural,23,I know something about it,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses",It might encourage people to stop working,,yes,3833bd699e7afe4665b595f282da0387,12,database development and administration project manager
24,1c8ea6b0-de3d-0133-605b-0a81e8b09a82,1989,26_39,Male,no,Austria,AT,24,rural,24,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state,high,yes,19e384e977796c25780d8c28b12089c4,13,naval tactical data systemcombat information center watch officer general
25,d31a5ea0-d969-0133-79f5-0a81e8b09a82,35 years old,26_39,Female,yes,Austria,AT,25,city,25,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility,It might encourage people to stop working,medium,no,,0,
26,2c1d6730-d970-0133-9161-0a81e8b09a82,48 years old,40_65,Male,no,Austria,AT,26,rural,26,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state,medium,yes,474b962c13632a04e42a546be4f11dbb,14,data coder operator
27,307ce090-daf9-0133-f4f2-0a81e8b09a82,51 years old,40_65,Male,yes,Austria,AT,27,countryside,27,I know something about it,I would probably vote against it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward,low,no,,0,
28,388a2f20-db3b-0133-570e-0a81e8b09a82,1988,26_39,Female,yes,Austria,AT,28,rural,28,I know something about it,I would probably vote against it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state,medium,no,,0,
29,12cd5b70-dbd8-0133-0395-0a81e8b09a82,40 years old,40_65,Male,yes,Austria,AT,29,Country,29,I have never heard of it,I would vote for it,‰Û_ work less,None of the above,None of the above,,yes,dac2e921c1f887d9efc4c06fa33c1397,15,automatic data processing customer liaison adp customer liaison
30,684ad570-de3f-0133-705d-0a81e8b09a82,1999,juvenile,Male,no,Austria,AT,30,rural,30,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit,low,no,,0,
31,4c7898b0-dbdf-0133-993b-0a81e8b09a82,35 years old,26_39,Female,no,Austria,AT,31,urban,31,I know something about it,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | It increases dependence on the state | It is impossible to finance,high,yes,996da29c84f5eed00da40c230f4c4078,16,data entry representative
32,d911df50-d8f8-0133-b5b7-0a81e8b09a82,1991,14_25,Male,no,Austria,AT,32,city,32,I know something about it,I would probably vote against it,‰Û_ spend more time with my family,None of the above,It might encourage people to stop working,medium,no,,0,
33,11c61a10-de3d-0133-6041-0a81e8b09a82,42 years old,40_65,Male,no,Austria,AT,33,city,33,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,"It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It creates more equality of opportunity",It increases dependence on the state,high,yes,fcaf4aac737e53ad24b9f32f08b8740f,11,computer or data processing systems consultant
34,ab8dbf10-da1c-0133-f11e-0a81e8b09a82,37 years old,26_39,Male,yes,Austria,AT,34,countryside,34,I have heard just a little about it,I would probably vote against it,‰Û_ do more volunteering work,It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit,low,yes,d71c4164c99a5f9bca773e755a72f40f,6,geographic information systems database administrator gis database administrator
35,d13a4420-dee8-0133-05e2-0a81e8b09a82,1994,14_25,Female,no,Austria,AT,35,countryside,35,I have heard just a little about it,I would probably vote against it,‰Û_ work less,None of the above,None of the above,medium,yes,cc2b26cc436bea36bda3bdd7367c411a,17,data processing auditor
36,9699d060-da5b-0133-0ae5-0a81e8b09a82,45 years old,40_65,Female,no,Austria,AT,36,Non-Rural,36,I know something about it,I would probably vote for it,‰Û_ do more volunteering work,It reduces anxiety about financing basic needs,It increases dependence on the state,high,yes,25fe195cbf915c0824fa6c44e6d0008c,18,maintenance data analyst
37,d30d1810-da47-0133-15c3-0a81e8b09a82,31 years old,26_39,Male,no,Austria,AT,37,rural,37,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | It increases dependence on the state,low,no,,0,
38,9b532680-dc7d-0133-dcb5-0a81e8b09a82,47 years old,40_65,Male,yes,Austria,AT,38,countryside,38,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward,low,yes,76385cb24e831b3364279b9de5641d8f,19,automatic data processing systems security specialist adp systems security
39,0a8ed740-de42-0133-f3a6-0a81e8b09a82,33 years old,26_39,Male,yes,Austria,AT,39,urban,39,I know something about it,I would probably vote for it,‰Û_ gain additional skills,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working | It increases dependence on the state | It is against the principle of linking merit and reward,high,no,,0,
40,8d6c0630-dc17-0133-c863-0a81e8b09a82,64 years old,40_65,Female,yes,Austria,AT,40,rural,40,I have heard just a little about it,I would probably vote against it,None of the above,None of the above,It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state,low,no,,0,
41,1c4a0200-da22-0133-e797-0a81e8b09a82,1990,26_39,Male,no,Austria,AT,41,city,41,I have heard just a little about it,I would probably vote against it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,medium,no,,0,
42,896c8bd0-dcc3-0133-f1c3-0a81e8b09a82,38 years old,26_39,Female,no,Austria,AT,42,Country,42,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,low,yes,16b67d7f57698455aefbc1ae1b358b50,20,database engineer
43,db1bf110-d8d7-0133-8ee6-0a81e8b09a82,35 years old,26_39,Female,yes,Austria,AT,43,rural,43,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs,It increases dependence on the state,high,no,,0,
44,5441c1d0-d9a6-0133-55bc-0a81e8b09a82,55 years old,40_65,Male,no,Austria,AT,44,urban,44,I know something about it,I would vote against it,‰Û_ work less,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward,high,yes,b24ece3300d2f8ab34f9553e531183d6,21,data processing systems project planner
45,a332d3f0-d8c9-0133-a2e5-0a81e8b09a82,41 years old,40_65,Male,no,Austria,AT,45,rural,45,I know something about it,I would not vote,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward,low,no,,0,
46,581cec00-da3e-0133-cc6b-0a81e8b09a82,1990,26_39,Male,no,Austria,AT,46,urban,46,I know something about it,I would probably vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It increases dependence on the state | It might encourage people to stop working,high,yes,5db2c8d6539f983e1ca3d7c5b939e190,22,database administration associate
47,cf24ed60-da3f-0133-0034-0a81e8b09a82,48 years old,40_65,Female,no,Austria,AT,47,Country,47,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",None of the above,high,yes,861a9b9151e11362eb3c77ca914172d0,1,automatic data processing planner
48,03d9e160-da33-0133-b694-0a81e8b09a82,40 years old,40_65,Male,yes,Austria,AT,48,urban,48,I understand it fully,I would vote against it,None of the above,None of the above,It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | It increases dependence on the state,medium,yes,36675c937946c8a4fc5de7d0b4c850de,23,data warehousing engineer
49,c8ab8660-daf3-0133-b467-0a81e8b09a82,64 years old,40_65,Male,yes,Austria,AT,49,city,49,I understand it fully,I would probably vote for it,‰Û_ work less,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit,medium,no,,0,
50,5fb8d530-d8c5-0133-bfb5-0a81e8b09a82,1992,juvenile,Male,no,Austria,AT,50,urban,50,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state,high,no,,0,
51,3f32d3c0-dbd5-0133-e559-0a81e8b09a82,2001,14_25,Female,no,Austria,AT,51,Country,51,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working,low,no,,0,
52,c76aa3e0-dbf6-0133-0d62-0a81e8b09a82,49 years old,40_65,Male,yes,Austria,AT,52,Country,52,I know something about it,I would probably vote for it,‰Û_ spend more time with my family,It encourages financial independence and self-responsibility,It is impossible to finance,,yes,847165cfda6b1dc82ae22b967da8af2f,24,data warehouse developer
53,2fe1bc10-d8e2-0133-b57f-0a81e8b09a82,1993,14_25,Male,no,Austria,AT,53,rural,53,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,low,yes,2ca138b991c50dc6696238e5ad800142,25,database software technician
54,4cd8dfe0-d9a7-0133-5a1b-0a81e8b09a82,36 years old,26_39,Male,no,Austria,AT,54,urban,54,I know something about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state,medium,no,,0,
55,d4ac22b0-dd5d-0133-dd11-0a81e8b09a82,46 years old,40_65,Female,yes,Austria,AT,55,rural,55,I know something about it,I would probably vote for it,None of the above,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,,no,,0,
56,8c014b80-da49-0133-fd69-0a81e8b09a82,1989,26_39,Male,no,Austria,AT,56,rural,56,I understand it fully,I would vote for it,‰Û_ work less,It creates more equality of opportunity,It might encourage people to stop working,low,no,,0,
57,0e383540-dad5-0133-3be7-0a81e8b09a82,1990,26_39,Male,no,Austria,AT,57,urban,57,I have heard just a little about it,I would vote for it,‰Û_ do more volunteering work,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering,It might encourage people to stop working,,no,,0,
58,e75d0b00-d9b1-0133-043b-0a81e8b09a82,1998,14_25,Male,no,Austria,AT,58,rural,58,I have heard just a little about it,I would vote against it,‰Û_ look for a different job,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit,medium,yes,16b67d7f57698455aefbc1ae1b358b50,20,database engineer
59,9cd06680-da89-0133-519f-0a81e8b09a82,1988,26_39,Female,no,Austria,AT,59,urban,59,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,"It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,low,yes,36675c937946c8a4fc5de7d0b4c850de,23,data warehousing engineer
60,b3fc91b0-db3a-0133-505a-0a81e8b09a82,35 years old,26_39,Female,yes,Austria,AT,60,rural,60,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward,high,no,,0,
61,2eea8620-dbeb-0133-3910-0a81e8b09a82,44 years old,40_65,Female,yes,Austria,AT,61,Country,61,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working,low,yes,36675c937946c8a4fc5de7d0b4c850de,23,data warehousing engineer
62,b8616bf0-dd85-0133-dabb-0a81e8b09a82,1991,14_25,Female,no,Austria,AT,62,Country,62,I know something about it,I would probably vote against it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs,It is impossible to finance | It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state,low,yes,cc2b26cc436bea36bda3bdd7367c411a,17,data processing auditor
63,50e1e660-de3a-0133-589e-0a81e8b09a82,2001,14_25,Male,no,Austria,AT,63,city,63,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,,no,,0,
64,66867d70-de2e-0133-fd0b-0a81e8b09a82,1996,juvenile,Male,no,Austria,AT,64,Non-Rural,64,I know something about it,I would vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,It might encourage people to stop working,low,no,,0,
65,9567fd10-da36-0133-f91e-0a81e8b09a82,47 years old,40_65,Female,yes,Austria,AT,65,city,65,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It is impossible to finance,no,no,,0,
66,e55a9780-d98f-0133-f7be-0a81e8b09a82,1991,juvenile,Female,no,Austria,AT,66,Non-Rural,66,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state | It is impossible to finance,medium,no,,0,
67,5eaadd90-da5a-0133-3d70-0a81e8b09a82,65 years old,40_65,Female,yes,Austria,AT,67,rural,67,I understand it fully,I would probably vote for it,‰Û_ do more volunteering work,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It is impossible to finance | Only the people who need it most should get something from the state,high,yes,fcaf4aac737e53ad24b9f32f08b8740f,11,computer or data processing systems consultant
68,ca3f65f0-d92b-0133-3959-0a81e8b09a82,46 years old,40_65,Male,yes,Austria,AT,68,rural,68,I know something about it,I would vote against it,None of the above,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working,medium,yes,049a3f3a2b5f85cb2971ba77ad66e10c,2,data coordinator
69,c8394f00-d9f4-0133-fe97-0a81e8b09a82,1999,14_25,Male,no,Austria,AT,69,city,69,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward,low,no,,0,
70,dade6cd0-d9ff-0133-f2d6-0a81e8b09a82,1995,14_25,Male,no,Austria,AT,70,city,70,I understand it fully,I would vote for it,‰Û_ work as a freelancer,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state,medium,yes,775190277a849cba701b306a7b374c0a,26,data officer
71,437716a0-da35-0133-f2f5-0a81e8b09a82,52 years old,40_65,Male,yes,Austria,AT,71,urban,71,I know something about it,I would vote for it,‰Û_ look for a different job,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit,low,yes,022d0e3a40aa3e29bca6851542b27842,27,data keyer
72,8cc018b0-de4b-0133-0bcd-0a81e8b09a82,1990,26_39,Male,no,Austria,AT,72,urban,72,I understand it fully,I would probably vote for it,‰Û_ do more volunteering work,It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | It might encourage people to stop working,high,yes,375017ea3a1a97f5ea676def873bb25b,28,geographic information systems data specialist gis data specialist
73,7c2e43a0-da1a-0133-acda-0a81e8b09a82,2002,juvenile,Male,no,Austria,AT,73,Non-Rural,73,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,low,no,,0,
74,b9dbcc80-da2b-0133-481e-0a81e8b09a82,1996,juvenile,Female,no,Austria,AT,74,city,74,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It creates more equality of opportunity,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state,medium,no,,0,
75,89977480-d9bc-0133-b906-0a81e8b09a82,1989,26_39,Male,yes,Austria,AT,75,Non-Rural,75,I know something about it,I would probably vote for it,None of the above,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state | It is impossible to finance | It is against the principle of linking merit and reward,no,yes,1dd2fdc8a3981f2a1d8f0ca173952bb8,29,database administration manager
76,11cf6080-dc70-0133-8090-0a81e8b09a82,50 years old,40_65,Male,yes,Austria,AT,76,urban,76,I have heard just a little about it,I would probably vote against it,‰Û_ work less,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | It is against the principle of linking merit and reward,medium,yes,e605336f5a43949cb6b18054fd1937f1,30,database security expert
77,6aa21d60-deec-0133-20b3-0a81e8b09a82,1996,14_25,Male,no,Austria,AT,77,urban,77,I understand it fully,I would vote for it,‰Û_ look for a different job,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit,,no,,0,
78,08159f30-dbf8-0133-74d8-0a81e8b09a82,34 years old,26_39,Female,yes,Austria,AT,78,Non-Rural,78,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,low,yes,800b621aab5dac18f4caef621fa43a49,31,data systems manager
79,5f772780-dd7d-0133-5e86-0a81e8b09a82,1997,juvenile,Female,no,Austria,AT,79,urban,79,I have heard just a little about it,I would probably vote against it,‰Û_ do more volunteering work,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state,high,no,,0,
80,996a7cf0-d98b-0133-a5d7-0a81e8b09a82,1998,14_25,Female,no,Austria,AT,80,Country,80,I have heard just a little about it,I would probably vote against it,‰Û_ look for a different job,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,high,no,,0,
